Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class,Quantity
14,Truth Echoes Veins,Olivia Smith,TorBooks,7295548249,Russian,34.3,1991-04-11,Engineering,15
34,Fire Embrace,Sophia Edwards,EccoPress,5652263819,French,140.06,2002-06-25,Engineering,5
40,Veil Serpent Dawn,Zachary Brown,WorkmanPublishing,1569903818,Spanish,169.17,1906-07-03,Engineering,8
43,Mirror Serpent Dream,Alice Fisher,BerkleyBooks,9051130915,Spanish,85.74,1967-03-24,Engineering,16
44,Truth Serpent,Quinn Lee,Hachette,1017924874,French,117.23,1936-05-06,Engineering,18
52,Tempest Storms Shadows,Zoe Green,AcornPress,8942070978,French,150.72,1973-09-03,Engineering,10
65,Horizon Truth,Ryan Brooks,PrincetonPress,9955674766,Chinese,141.87,2024-04-09,Engineering,19
70,Fate Rift Soul,Charlotte Martin,KnopfDoubleday,4684273171,Russian,67.27,2010-04-10,Engineering,12
72,Rising Nightfall Veil,Jack Peterson,HoughtonMifflin,5569272834,Russian,74.08,1981-04-06,Engineering,5
76,Betrayal Ghosts Bound,Ryan Foster,PlumeBooks,5030938972,Russian,139.9,1951-12-31,Engineering,6
84,Horizon Sins,Violet Parker,Wiley,7571570743,Russian,193.42,1967-04-21,Engineering,10
88,Kingdom Path,Alice Vaughn,TarcherPerigee,5667278292,Spanish,73.73,1938-01-07,Engineering,4
96,Flame Light Mirror,Lucas Lewis,LittleBrown,8113164741,Russian,169.85,1999-11-19,Engineering,20
