Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class ID,Quantity
9,Mirror Tempest,Ursula Brown,RowmanLittlefield,3288824766,English,189.77,1957-02-24,6,5
16,Lost Awakening,Henry Lewis,Sourcebooks,7988410979,English,183.42,1901-12-06,6,16
36,Blood Ghosts Tempest,Olivia Nelson,Oxford,4922303814,Spanish,121.57,1937-05-29,6,13
39,Awakening Lost,Thomas Lee,TyndaleHouse,1925349355,Spanish,28.8,1960-04-09,6,15
42,Serpent Betrayal,Jake Daniels,Pearson,6798075720,French,176.56,1996-09-19,6,5
51,Legacy Storm Lost,Emma Adams,StMartinsPress,5084751180,French,57.09,2020-08-29,6,9
56,Rift Soul,Thomas Brooks,WorkmanPublishing,2852859964,English,141.19,1926-06-01,6,19
72,Echoes Edge Infinity,Frederick Stevens,CityLights,7046419196,French,172.88,1907-07-04,6,7
80,Rain Light,Benjamin Yates,TyndaleHouse,3691385065,French,163.36,1994-09-29,6,9
83,Whisper Veil,Taylor Edwards,StMartinsPress,9628096101,Russian,115.16,1918-01-31,6,10
100,Ghosts Sins Nightfall,Xavier Stevens,TyndaleHouse,5744790408,Chinese,165.91,1920-03-20,6,20
9,Mirror Tempest,Ursula Brown,RowmanLittlefield,3288824766,English,189.77,1957-02-24,6,5
16,Lost Awakening,Henry Lewis,Sourcebooks,7988410979,English,183.42,1901-12-06,6,16
36,Blood Ghosts Tempest,Olivia Nelson,Oxford,4922303814,Spanish,121.57,1937-05-29,6,13
39,Awakening Lost,Thomas Lee,TyndaleHouse,1925349355,Spanish,28.8,1960-04-09,6,15
42,Serpent Betrayal,Jake Daniels,Pearson,6798075720,French,176.56,1996-09-19,6,5
51,Legacy Storm Lost,Emma Adams,StMartinsPress,5084751180,French,57.09,2020-08-29,6,9
56,Rift Soul,Thomas Brooks,WorkmanPublishing,2852859964,English,141.19,1926-06-01,6,19
72,Echoes Edge Infinity,Frederick Stevens,CityLights,7046419196,French,172.88,1907-07-04,6,7
80,Rain Light,Benjamin Yates,TyndaleHouse,3691385065,French,163.36,1994-09-29,6,9
83,Whisper Veil,Taylor Edwards,StMartinsPress,9628096101,Russian,115.16,1918-01-31,6,10
100,Ghosts Sins Nightfall,Xavier Stevens,TyndaleHouse,5744790408,Chinese,165.91,1920-03-20,6,20
