Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class,Quantity
13,Flame Secrets Wings,Xavier Kelly,TorBooks,5398306713,French,167.63,1900-08-15,Philosophy,19
18,Storms Veins,Benjamin Edwards,Wiley,8627345730,French,183.51,1903-04-17,Philosophy,7
23,Dream Memory,Frederick Nelson,Knopf,6411529892,Spanish,30.92,1976-09-20,Philosophy,18
35,Soul Dawn Fate,Finn Lewis,PrincetonPress,1711868362,Chinese,103.42,1928-09-28,Philosophy,16
36,Whisper Heart Ghosts,Yvonne Roberts,AcornPress,1366293233,Spanish,22.83,2000-08-24,Philosophy,19
42,Rising Path Soul,Maria Martin,BluebirdBooks,8731705279,English,113.39,1974-06-06,Philosophy,9
46,Rain Veil,Frederick Lewis,Sourcebooks,9700875756,Chinese,14.86,1908-05-06,Philosophy,19
63,Legacy Awakening Path,Rachel Smith,BerkleyBooks,4094323850,Russian,174.77,1936-01-14,Philosophy,8
67,Veil Path,Katie Kelly,Doubleday,7055805263,Chinese,148.86,1991-01-29,Philosophy,17
75,Rift Awakening Lost,Benjamin Nelson,SkyhorsePublishing,6535979827,English,97.98,1974-06-08,Philosophy,17
86,Ashes Veins,Samuel Miller,RandomHouse,6498535334,Spanish,182.66,1915-05-09,Philosophy,17
93,Blood Rain Lost,Ivy Hill,Hachette,4847620219,Spanish,73.46,1971-07-30,Philosophy,16
97,Nightfall Ashes,Maria Brown,TarcherPerigee,4563327099,Russian,50.5,1940-07-28,Philosophy,4
101,Rain Embrace,Owen Yates,Liveright,6569640084,English,101.2,1955-01-25,Philosophy,11
