Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class ID,Quantity
4,Thorns Ashes,Eva Van Dyke,Doubleday,9950838411,Spanish,112.94,1987-06-14,4,7
5,Ashes Infinity,Phoebe Walker,StMartinsPress,2237644190,English,186.36,1994-09-13,4,19
45,Dawn Betrayal Rift,Isabella Yates,Routledge,4325293425,Spanish,114.93,1903-04-17,4,9
59,Embrace Sins,Samuel Harris,Penguin,4694184938,Russian,55.35,1998-04-05,4,13
61,Ashes Shadows Awakening,Rachel Usher,StMartinsPress,2092602529,Russian,69.01,1952-05-01,4,17
70,Infinity Fire,Benjamin Adams,HaymarketBooks,6653274575,English,55.34,2003-03-26,4,9
76,Rebirth Whisper Veins,Jack Van Dyke,SkyhorsePublishing,9867143059,English,180.18,1907-12-08,4,12
82,Infinity Blood,Yvonne Smith,HarvardPress,4835857990,Spanish,197.43,1938-02-28,4,15
97,Lost Silence,Eva Roberts,FlatironBooks,7550076483,English,180.61,1951-12-09,4,4
99,Thorns Fire,Owen Foster,Scribner,4666310757,English,140.87,2006-08-03,4,9
101,Lost Memory,Isabella Irving,UniversityPress,4445605560,Spanish,144.97,1918-05-05,4,7
4,Thorns Ashes,Eva Van Dyke,Doubleday,9950838411,Spanish,112.94,1987-06-14,4,7
5,Ashes Infinity,Phoebe Walker,StMartinsPress,2237644190,English,186.36,1994-09-13,4,19
45,Dawn Betrayal Rift,Isabella Yates,Routledge,4325293425,Spanish,114.93,1903-04-17,4,9
59,Embrace Sins,Samuel Harris,Penguin,4694184938,Russian,55.35,1998-04-05,4,13
61,Ashes Shadows Awakening,Rachel Usher,StMartinsPress,2092602529,Russian,69.01,1952-05-01,4,17
70,Infinity Fire,Benjamin Adams,HaymarketBooks,6653274575,English,55.34,2003-03-26,4,9
76,Rebirth Whisper Veins,Jack Van Dyke,SkyhorsePublishing,9867143059,English,180.18,1907-12-08,4,12
82,Infinity Blood,Yvonne Smith,HarvardPress,4835857990,Spanish,197.43,1938-02-28,4,15
97,Lost Silence,Eva Roberts,FlatironBooks,7550076483,English,180.61,1951-12-09,4,4
99,Thorns Fire,Owen Foster,Scribner,4666310757,English,140.87,2006-08-03,4,9
101,Lost Memory,Isabella Irving,UniversityPress,4445605560,Spanish,144.97,1918-05-05,4,7
