Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class ID,Quantity
6,Thorns Infinity Mirror,Grace Clark,CityLights,6289268499,Chinese,67.17,1992-08-28,8,7
29,Wings Silence,Eva Young,EccoPress,3192465384,Spanish,51.29,2009-12-02,8,15
58,Ghosts Kingdom,Brian Brown,TorBooks,3234889034,Chinese,58.53,1900-05-18,8,6
66,Dawn Veil,Ava Davis,Hachette,2632908715,Spanish,79.6,1994-11-09,8,15
78,Betrayal Storm Path,Eva Fisher,WorkmanPublishing,3752634344,Chinese,88.81,2019-01-17,8,4
6,Thorns Infinity Mirror,Grace Clark,CityLights,6289268499,Chinese,67.17,1992-08-28,8,7
29,Wings Silence,Eva Young,EccoPress,3192465384,Spanish,51.29,2009-12-02,8,15
58,Ghosts Kingdom,Brian Brown,TorBooks,3234889034,Chinese,58.53,1900-05-18,8,6
66,Dawn Veil,Ava Davis,Hachette,2632908715,Spanish,79.6,1994-11-09,8,15
78,Betrayal Storm Path,Eva Fisher,WorkmanPublishing,3752634344,Chinese,88.81,2019-01-17,8,4
