Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class,Quantity
4,Flame Wings,Olivia Davis,EccoPress,8200102813,French,138.38,1932-09-23,Fiction,1
5,Fate Truth Phoenix,Phoebe Miller,Cambridge,7679579292,French,23.21,1992-03-31,Fiction,11
6,Sins Journey Fire,Will Brown,BluebirdBooks,4176373238,French,158.26,1979-07-22,Travel,7
8,Silence Storm Rising,Sophia Edwards,SkyhorsePublishing,5297235959,French,94.99,2008-06-05,Sociology,15
9,Soul Kingdom Awakening,Liam Daniels,Oxford,9332931930,French,121.49,1982-06-04,Poetry,17
13,Flame Secrets Wings,Xavier Kelly,TorBooks,5398306713,French,167.63,1900-08-15,Philosophy,19
15,Ashes Memory Storms,Violet Jackson,Routledge,1852307544,French,184.54,2016-04-06,Travel,2
18,Storms Veins,Benjamin Edwards,Wiley,8627345730,French,183.51,1903-04-17,Philosophy,7
29,Light Path Horizon,Frederick Quinn,TarcherPerigee,2071215199,French,167.15,1935-02-07,Fine_Arts,10
30,Thorns Bound,Charlotte Campbell,ChronicleBooks,8769509106,French,147.2,2006-06-08,Science,8
31,Heart Silence,Owen King,Doubleday,9718902533,French,71.08,1943-01-12,Fiction,15
34,Fire Embrace,Sophia Edwards,EccoPress,5652263819,French,140.06,2002-06-25,Engineering,5
44,Truth Serpent,Quinn Lee,Hachette,1017924874,French,117.23,1936-05-06,Engineering,18
48,Rising Thorns,Wendy Yates,Abrams,7826882178,French,123.48,1936-08-11,Fine_Arts,20
52,Tempest Storms Shadows,Zoe Green,AcornPress,8942070978,French,150.72,1973-09-03,Engineering,10
55,Storm Rising Shadows,Maria White,RowmanLittlefield,4273864686,French,24.67,1922-12-15,Travel,14
59,Soul Infinity Horizon,Emma Hill,ChronicleBooks,2745313085,French,191.73,1989-07-04,Science,5
62,Blood Sins Rising,Lucas Nelson,FlatironBooks,4758056443,French,60.18,1964-04-01,Drama,1
74,Path Ghosts Legacy,Emma Hill,UniversityPress,3945670359,French,131.22,1936-11-14,Sociology,16
77,Silence Light,Taylor Anderson,GreenleafBookGroup,7611757337,French,185.58,1917-11-11,Drama,1
85,Wings Dream Infinity,Will White,Zondervan,1579205042,French,28.41,1972-01-11,Fiction,2
98,Memory Rain,Mia Ingram,FarrarStraus,2247029985,French,145.74,1904-06-27,Science,2
