Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class,Quantity
20,Wings Sins,Taylor Walker,ArcadePublishing,5364049427,Spanish,134.23,1930-01-11,Fiction,16
23,Dream Memory,Frederick Nelson,Knopf,6411529892,Spanish,30.92,1976-09-20,Philosophy,18
24,Legacy Echoes,Finn Martin,Zondervan,5504323066,Spanish,198.18,1970-07-25,Biography,6
32,Dawn Nightfall Embrace,Phoebe Newton,CityLights,7405001155,Spanish,145.19,2008-12-04,Science,3
33,Rebirth Mirror Soul,Kylie Kelly,AlgonquinBooks,9961377129,Spanish,135.31,2003-09-07,Travel,10
36,Whisper Heart Ghosts,Yvonne Roberts,AcornPress,1366293233,Spanish,22.83,2000-08-24,Philosophy,19
38,Fate Wings,Phoebe Oliver,SkyhorsePublishing,5932797343,Spanish,152.95,1934-08-29,Poetry,16
40,Veil Serpent Dawn,Zachary Brown,WorkmanPublishing,1569903818,Spanish,169.17,1906-07-03,Engineering,8
43,Mirror Serpent Dream,Alice Fisher,BerkleyBooks,9051130915,Spanish,85.74,1967-03-24,Engineering,16
47,Blood Lost,Will Adams,EccoPress,9294052724,Spanish,149.43,1908-11-08,Travel,6
58,Thorns Storms Echo,Alice Lee,SkyhorsePublishing,7696805346,Spanish,188.99,1914-08-27,Fiction,19
64,Betrayal Horizon,Ethan Smith,Macmillan,4653049824,Spanish,85.71,1914-06-03,Fine_Arts,12
78,Flame Kingdom Wings,Xavier Edwards,Liveright,8832312144,Spanish,169.72,1929-07-31,Drama,20
83,Tempest Soul,Frederick Brown,Zondervan,8902327562,Spanish,127.56,1942-08-28,Fine_Arts,11
86,Ashes Veins,Samuel Miller,RandomHouse,6498535334,Spanish,182.66,1915-05-09,Philosophy,17
88,Kingdom Path,Alice Vaughn,TarcherPerigee,5667278292,Spanish,73.73,1938-01-07,Engineering,4
93,Blood Rain Lost,Ivy Hill,Hachette,4847620219,Spanish,73.46,1971-07-30,Philosophy,16
95,Blood Echoes Rebirth,Charlotte Lewis,GreenleafBookGroup,4293848273,Spanish,71.75,1917-08-22,Science,5
